year,hydro_gwh,wind_gwh,other_gwh,all_gwh
2006-01-01,3657.143,702.854,332.8,4692.797
2007-01-01,3657.143,702.854,332.8,4692.797
2008-01-01,9072.143,1265.376,825.565,11163.083
2009-01-01,9886.429,2144.508,899.665,12930.601
2010-01-01,9886.429,2144.508,899.665,12930.601
2011-01-01,13761,2348.374,1252.251,17361.625
2012-01-01,15932.914,3407.481,1449.895,20790.29
2013-01-01,25191.343,3428.378,2292.412,30912.133
2014-01-01,25191.343,3773.935,2292.412,31257.69
2015-01-01,29230.229,3773.935,2659.951,35664.115
2016-01-01,29410.914,3773.935,2676.393,35861.243
2017-01-01,29546.629,3773.935,2688.743,36009.307
2018-01-01,29923.257,3773.935,2723.016,36420.209
2019-01-01,29923.257,3988.871,2723.016,36635.144
2020-01-01,29923.257,4228.398,2723.016,36874.672